name,count
Cao Cao,744
Liu Bei,644
Sun Quan,343
Zhuge Liang,337
Guan Yu,336
Ma Chao,265
Zhang Fei,237
Huang Zhong,192
Zhao Zilong,180
Zhou Yu,179
Pang De,128
Zhang He,117
Lu Su,116
Wei Yan,103
Lu Meng,98
Liu Zhang,95
Cao Ren,84
Pang Tong,81
Xu Huang,80
Lu Xun,76
Zhang Lu,76
Xiahou Yuan,75
Prime Minister,72
Cao Pi,72
Guan Ping,70
Cao Hong,67
Zhang Song,63
Meng Da,63
Xu Chu,62
Yan Yan,58
Gan Ning,56
Guan Xing,54
Liu Feng,53
Han Sui,53
Fa Zheng,53
Zhang Ren,51
Zhou Tai,48
Zhang Bao,46
Yu Jin,42
Yang Xiu,42
Guan Lu,42
Zhang Liao,40
Hua Xin,39
Ling Tong,37
Zhuge Jin,36
Ma Dai,35
Huang Quan,34
Lady Sun,33
Han Dang,32
Jia Xu,31
Ma Liang,30
Pan Zhang,29
Liao Hua,29
Xu Sheng,28
Cheng Pu,28
Zhang Zhao,28
Ma Teng,28
Yang Fu,28
Sun Huan,27
Cao Zhi,25
Hu Ban,25
Hua Tuo,25
Xiahou Dun,24
Ding Feng,23
Mi Fang,21
Xiahou Shang,21
Zhu Ran,21
Sun Qian,20
Cao Zhang,19
Wang Bi,18
Ma Zhong,18
Feng Xi,17
Jiang Qin,16
Yue Jing,16
Li Yan,16
Liu Biao,15
Zhao Fan,15
Cao Xiu,15
Wu Yi,15
Peng Yang,15
Niu Jin,14
Li Dian,14
Wang Ping,14
Xun Yu,13
Sima Yi,13
Zuo Ci,13
Man Chong,13
Chen Wu,12
Li Hui,12
Zhang Yi,12
The Emperor,12
Han Hao,12
Wang Fu,12
Liu Qi,11
Han Xuan,11
Liu Shan,11
Zhong Yao,11
Zhao Ang,11
Dong Xi,10
Yang Qiu,10
Zhou Cang,10
Fei Shi,10
Liu Ye,10
Zhang Nan,10
Mi Zhu,9
Taishi Ci,9
Wei Kang,9
Jiang Xu,9
Xu Jing,9
Emperor Xian,9
Guan Ning,9
Cao Zhen,9
Song Qian,8
Huo Jun,8
Jian Yong,8
Gu Yong,7
Wang Lang,7
Cheng Yu,7
Dong Cheng,7
Deng Zhi,7
Yu Fan,7
Chen Zhen,7
Zhu Huan,7
Cao Chun,6
Jin Xuan,6
Chen Qun,6
Qin Mi,6
Du Xi,6
Bu Zhi,6
Chen Shi,6
Sun Jiao,6
Ma Su,5
Wen Ping,5
Lu Bu,5
Liu Xun,5
Qiao Zhou,5
Kan Ze,5
Cao Xiong,5
Huang Gai,4
Dong Zhao,4
Liu Ba,4
Cui Yan,4
Cai Yong,4
Pan Jun,4
Lu Qian,4
Du Qiong,4
Zhang Hong,3
Sun Ce,3
Xun You,3
Liu Yan,3
Jiang Wan,3
Gu Li,3
Guo Huai,3
Liu Li,3
Chen Deng,3
Jia Kui,3
Ding Yi,3
Meng Huo,3
Liu Du,2
Lady Gan,2
Wang Can,2
Yuan Shao,2
Li Tong,2
Zhu Ling,2
Dian Wei,2
Cao Yong,2
Mi Heng,2
Zhang Xiu,2
Lady Wu,2
Cao Ang,2
Wu Zhi,2
Huan Jie,2
Zhao Rong,2
Li Yin,2
Sun Jian,2
Shi Ji,2
Cheng Bing,2
Dong Yun,2
Chen Lin,1
Dong Zhuo,1
Yuan Shu,1
Li Jue,1
Guo Si,1
Pang Xi,1
Zhang Ji,1
Lu Yin,1
Zhou Qun,1
Fei Yi,1
Wang Ji,1
Jiang Ji,1
Sun Jing,1
Yan Liang,1
Wen Chou,1
Sima Fu,1
Xin Pi,1
Liu Bao,1
Yin Mo,1
Xu Ci,1
Meng Guang,1
Wang Shuang,1
Lady Mi,1
Empress Zhang,1
